id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
35152939,apartamento con vistas al mar y plaza de aparc,203349618,Miguel Angel,,Churriana,36.62634,-4.51646,Entire home/apt,120,7,0,,,2,365,0,CTC-2018130259
604931530305626564,Stunning home in Alhaurin de la Torre with 3,377752824,Novasol,,Churriana,36.6569,-4.54905,Entire home/apt,972,1,0,,,2,340,0,VFT/MA/45190
52358265,ColinaMar,423801084,Rosario,,Churriana,36.64039,-4.49475,Entire home/apt,59,3,16,2022-09-24,5.45,1,229,16,CTC-2019157444
29509243,Casita de Colina with a View,159561951,Gokhan,,Este,36.87074,-4.2895,Entire home/apt,55,6,35,2022-08-20,0.83,1,346,9,201899903808633
53371179,Villa la Alfeia,432126047,Dana,,Puerto de la Torre,36.79787,-4.5047,Entire home/apt,579,5,3,2022-08-09,1.08,1,360,3,408322
409898,"MORE THAN A GUESTHOUSE, BNB, ROOM 1",776105,Susan,,Campanillas,36.74933,-4.59438,Private room,40,3,108,2022-09-11,0.86,1,365,22,CTC.2016079147
5988449,Andalusian winehouse with private pool,31091530,Francisco,,Este,36.82264,-4.24596,Entire home/apt,76,5,189,2022-09-25,2.15,1,241,19,CR/MA/00091
52651697,Seafront Boutique CalaBeach - Apartment 1,2477923,Caleta Homes,,Este,36.71532,-4.30682,Entire home/apt,116,1,2,2022-06-15,0.36,73,348,2,VFT/MA/31935
14248284,Turquesa Room & Beach en B&B con encanto,86717759,Jorge,,Churriana,36.64,-4.48243,Private room,31,1,199,2022-09-25,2.67,5,221,49,CTC-2018107988
551355180159621962,Room 1 in an Andalusian Finca with office space,297941262,Robbie,,Campanillas,36.68561,-4.56391,Private room,53,1,5,2022-09-08,0.82,5,240,5,202299900725194
5782370,Reformed stables with pool & views,26534095,Angela,,Este,36.88135,-4.29512,Entire home/apt,72,3,28,2022-09-13,0.32,3,228,5,CR/MA/1803
22758231,Holiday cottage El Olivo Comares,11808680,Saskia,,Este,36.87337,-4.28331,Entire home/apt,46,3,14,2022-04-28,0.27,2,259,4,CR/MA/00478
683728460922644871,Romantic and private hide away with pool.,472660602,Simon,,Este,36.84404,-4.24712,Entire home/apt,110,7,3,2022-09-04,1.96,1,263,3,CTC-2022176210
5226871,Spacious country holiday cottage with private pool,26534095,Angela,,Este,36.8812,-4.29521,Entire home/apt,71,4,11,2022-09-09,0.12,3,216,4,CR/MA/1805
53581992,Comfortable apartment with pool and VIEWS,429091088,Maria Isabel,,Este,36.71952,-4.30709,Entire home/apt,86,3,6,2022-08-28,1.07,1,65,6,VFT/MA/47452
10843182,PRECIOSO ESTUDIO EN CALA DEL MORAL,56160518,Trinidad,,Este,36.71943,-4.30701,Entire home/apt,63,3,29,2022-08-20,0.36,1,365,2,CTC2017076124
594225023743919669,La Casita del Granado,451998178,Salvador,,Este,36.765564,-4.296474,Entire home/apt,31,2,16,2022-09-03,2.87,1,362,16,VFT/MA/50530
47824368,"VILLA TORCAL 1, HEATED POOL ,WIFI,BBQ,A/C",385368241,Villa Rental Comares,,Este,36.842339,-4.274216,Entire home/apt,149,7,8,2022-07-16,0.44,1,242,6,VTAR/MA/02421
